Timestamp,Ref,Weight,Number,Notes
31/8/23 19:52,L17L10,0.0901,1,
31/8/23 19:44,L17L02,0,0,
31/8/23 19:00,O18L01,0.0931,3,
31/8/23 19:04,O18L05,0.0083,1,
31/8/23 19:01,O18L02,0.0044,3,
31/8/23 19:06,O18L07,0.0018,3,
31/8/23 19:03,O18L04,0,0,
31/8/23 19:07,O18L08,0,0,
31/8/23 19:08,O18L09,0,0,
31/8/23 19:02,O18L03,0.0086,1,
31/8/23 19:09,O18L10,0,0,
31/8/23 19:50,L17L08,0.3554,1,
31/8/23 19:49,L17L07,0.0099,1,
31/8/23 19:05,O18L06,0.0026,1,
1/9/23 09:11,J15L02,0.0196,2,
1/9/23 09:10,J15L01,0.0311,1,
1/9/23 09:13,J15L04,0.0019,1,
1/9/23 09:12,J15L03,0.0259,3,
1/9/23 09:14,J15L05,0.0945,3,
1/9/23 09:16,J15L07,0.0536,1,
1/9/23 09:17,J15L08,0.0942,2,
1/9/23 09:18,J15L09,0,0,
1/9/23 09:19,J15L10,0.0635,2,
1/9/23 09:15,J15L06,0.0826,4,
1/9/23 08:40,J13L01,0.0082,1,
1/9/23 08:41,J13L02,0.0751,4,
1/9/23 08:47,J13L08,0.0121,2,
1/9/23 08:49,J13L10,0,0,
1/9/23 08:48,J13L09,0,0,
1/9/23 08:43,J13L04,0.0679,2,
1/9/23 08:45,J13L06,0.0503,5,
1/9/23 08:47,J13L03,0.0085,1,
1/9/23 08:46,J13L07,0.0509,7,
1/9/23 07:00,O18L01,0.0131,2,
1/9/23 07:04,O18L05,0.0029,2,
1/9/23 07:06,O18L07,0.6637,4,
1/9/23 07:07,O18L08,1.706,4,
1/9/23 07:09,O18L10,0.2907,6,
1/9/23 07:40,L17L06,0.2055,4,
1/9/23 07:08,O18L09,0.011,1,
1/9/23 07:05,O18L06,0.0269,2,
1/9/23 07:44,L17L10,0.0152,1,
1/9/23 07:39,L17L05,0.0782,3,
1/9/23 07:43,L17L09,0,0,
1/9/23 07:42,L17L08,0.0337,2,
1/9/23 07:41,L17L07,0.0701,4,
1/9/23 07:35,L17L01,0.096,2,
1/9/23 07:36,L17L02,0.0558,2,
1/9/23 08:09,L15L03,0,0,
1/9/23 08:08,L15L02,0.0396,1,
1/9/23 08:14,L15L09,0.1053,4,
1/9/23 08:15,L15L10,0.0815,3,
1/9/23 08:13,L15L08,0,0,
1/9/23 08:12,L15L07,0,0,
1/9/23 08:11,L15L06,0.0558,3,
1/9/23 08:07,L15L01,0.1286,13,
1/9/23 08:11,L15L05,0.0257,3,
1/9/23 07:01,O18L02,0.2691,4,
1/9/23 07:02,O18L03,0.0037,1,
1/9/23 07:03,O18L04,0.6796,4,
1/9/23 08:10,L15L04,0.1013,2,
